year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2019,Indian Wells,R16,W,Edmund,32.3,46.2,54.5,66.7,40.5,41.5,58.5,54.5,66.7,54.4,50.0,42.1,33.3,16.7,25.0,40.0,-79,hard
2019,Dubai,F,W,Tsitsipas,32.7,47.3,67.6,74.1,42.4,35.7,52.4,67.6,74.1,48.3,31.6,34.8,50.0,23.1,30.8,50.0,-79,hard
2019,Dubai,SF,W,Coric,40.9,56.8,60.0,64.3,50.5,44.0,68.0,60.0,64.3,60.8,41.7,46.2,,38.9,44.4,54.5,1,hard
2019,Dubai,QF,W,Fucsovics,25.0,46.3,53.4,62.5,35.5,36.0,60.0,53.4,62.5,52.8,60.0,44.0,0.0,7.1,25.0,42.3,-45,hard
2019,Dubai,R16,W,Verdasco,38.5,57.7,60.9,58.6,46.3,47.3,67.3,60.9,58.6,58.4,45.8,41.9,50.0,19.0,38.1,64.7,53,hard
2019,Australian Open,R16,L,Tsitsipas,36.5,51.9,57.6,60.7,46.4,46.7,65.7,57.6,60.7,61.3,37.5,46.2,0.0,15.7,23.5,53.5,-79,hard
2018,Tour Finals,SF,L,Zverev,32.3,43.1,56.8,63.6,40.0,40.5,51.4,56.8,63.6,54.1,60.0,59.3,0.0,21.4,32.1,50.0,-79,hard
2018,Tour Finals,RR,L,Nishikori,26.8,41.1,62.2,69.6,36.4,28.1,46.9,62.2,69.6,45.0,50.0,63.6,,30.0,40.0,50.0,157,hard
2018,Tour Finals,RR,W,Thiem,57.9,71.1,62.5,57.1,63.4,68.2,81.8,62.5,57.1,77.7,55.6,46.2,,43.8,56.3,66.7,-79,hard
2018,Tour Finals,RR,W,Anderson,34.0,44.0,59.4,62.5,40.4,46.7,60.0,59.4,62.5,57.3,38.5,64.7,33.3,15.8,21.1,56.3,-3,hard
