year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2024,Australian Open,QF,W,Hurkacz,21.1,30.0,58.3,68.4,27.6,30.3,44.0,58.3,68.4,41.0,56.0,32.2,25.0,8.2,9.8,44.6,-41,hard
2024,Australian Open,R16,W,Borges,35.9,41.4,50.0,55.8,40.7,44.1,52.7,50.0,55.8,51.6,54.8,49.0,60.0,26.8,26.8,40.0,115,hard
2024,Australian Open,R32,W,Auger,33.7,41.9,54.7,61.3,38.0,43.6,52.7,54.7,61.3,50.4,39.3,40.7,0.0,18.5,25.9,45.5,59,hard
2024,Australian Open,R64,W,Ruusuvuori,27.4,33.7,47.9,50.0,32.6,40.2,50.5,47.9,50.0,48.7,48.0,38.6,40.0,8.3,8.3,45.5,-37,hard
2023,Tour Finals,SF,L,Sinner,30.7,40.9,49.2,62.1,36.0,47.3,60.0,49.2,62.1,55.8,53.6,48.1,50.0,3.2,9.7,36.7,-85,hard
2023,Tour Finals,RR,W,Rublev,35.9,46.9,55.3,70.0,41.7,44.4,58.3,55.3,70.0,54.7,50.0,61.1,75.0,28.0,36.0,38.9,83,hard
2023,Tour Finals,RR,L,Alcaraz,32.1,46.4,51.4,56.5,38.4,39.5,57.9,51.4,56.5,48.7,50.0,35.0,,20.0,26.7,41.7,65,hard
2023,Tour Finals,RR,W,Zverev,32.9,41.4,60.0,65.6,38.9,37.3,49.0,60.0,65.6,45.5,73.7,40.6,,23.5,23.5,46.2,80,hard
2023,Paris,R32,L,Dimitrov,20.7,31.5,52.6,54.3,27.4,28.1,43.8,52.6,54.3,39.7,33.3,47.5,33.3,14.3,20.0,50.0,10,hard
2023,Vienna,F,L,Sinner,29.5,37.1,42.4,43.6,32.2,37.5,45.5,42.4,43.6,41.5,34.9,31.1,36.4,16.7,25.0,40.0,32,hard
2023,Vienna,SF,W,Tsitsipas,35.3,47.1,66.7,71.4,43.1,42.9,57.1,66.7,71.4,53.7,57.9,40.0,50.0,17.6,23.5,57.1,56,hard
2023,Vienna,QF,W,Khachanov,30.3,40.4,58.6,68.6,35.6,37.5,50.0,58.6,68.6,45.9,75.0,25.0,,20.7,27.6,43.5,82,hard
2023,Vienna,R16,W,Dimitrov,31.9,44.0,48.3,53.3,37.6,44.4,59.3,48.3,53.3,54.1,42.3,46.4,50.0,15.2,24.2,42.9,31,hard
2023,Vienna,R32,W,Fils,39.0,48.8,80.0,80.0,43.2,51.6,54.8,80.0,80.0,57.1,66.7,52.6,,0.0,30.0,80.0,-118,hard
2023,Shanghai,R32,L,Korda,35.0,43.3,60.0,63.6,40.3,46.3,56.1,60.0,63.6,54.1,73.7,36.4,0.0,13.3,20.0,53.8,-2,hard
2023,Shanghai,R64,W,Garin,32.7,40.0,58.1,63.2,38.5,47.2,58.3,58.1,63.2,56.1,88.9,33.3,75.0,7.7,7.7,50.0,-60,hard
2023,Beijing,F,L,Sinner,28.2,38.5,61.5,62.2,33.5,33.9,46.4,61.5,62.2,41.3,70.8,59.4,50.0,16.7,22.2,60.0,32,hard
2023,Beijing,SF,W,Zverev,40.4,50.9,63.6,60.0,43.9,51.2,61.0,63.6,60.0,56.1,66.7,47.8,100.0,13.3,26.7,69.2,16,hard
2023,Beijing,QF,W,Humbert,30.5,37.8,52.1,48.5,33.7,38.9,46.3,52.1,48.5,43.7,58.3,46.7,100.0,21.1,31.6,60.0,39,hard
2023,Beijing,R16,W,De,21.6,33.8,60.0,66.7,30.9,23.4,42.6,60.0,66.7,38.1,39.1,45.8,0.0,26.3,26.3,42.9,86,hard
2023,Beijing,R32,W,Paul,38.0,48.0,60.7,70.6,41.0,50.0,58.8,60.7,70.6,54.4,52.9,58.8,100.0,15.4,30.8,45.5,19,hard
2023,US Open,F,L,Djokovic,20.8,29.2,52.6,59.2,27.8,29.0,42.0,52.6,59.2,39.9,40.0,41.2,50.0,6.5,6.5,41.4,-59,hard
2023,US Open,SF,W,Alcaraz,34.1,47.3,62.7,70.0,41.4,39.8,56.6,62.7,70.0,51.1,62.8,42.5,33.3,30.6,38.9,48.0,145,hard
2023,US Open,QF,W,Rublev,20.0,38.0,47.9,62.2,28.1,32.7,60.0,47.9,62.2,47.5,45.8,64.5,62.5,5.6,13.9,32.4,-69,hard
2023,US Open,R16,W,De,27.9,34.6,58.0,68.3,34.3,38.8,46.3,58.0,68.3,48.8,34.4,31.4,50.0,9.7,16.1,42.9,-29,hard
2023,US Open,R32,W,Baez,23.3,32.5,51.8,58.5,28.1,28.4,40.5,51.8,58.5,36.1,48.5,34.1,57.1,17.9,23.1,40.6,49,hard
2023,US Open,R64,W,Oconnell,31.2,36.7,63.1,65.6,33.6,45.8,52.5,63.1,65.6,50.2,33.3,31.4,,17.5,22.5,60.6,36,hard
2023,US Open,R128,W,Balazs,33.3,51.9,66.7,77.3,47.2,38.9,63.9,66.7,77.3,59.7,47.1,21.1,,26.7,33.3,45.5,126,hard
2023,Cincinnati,R16,L,Zverev,27.8,34.4,60.3,73.3,33.1,38.8,51.0,60.3,73.3,48.6,50.0,18.5,0.0,17.6,17.6,46.4,43,hard
2023,Cincinnati,R32,W,Musetti,31.5,46.3,59.4,68.4,42.6,44.1,61.8,59.4,68.4,61.8,55.6,56.3,,13.3,26.7,46.2,-8,hard
2023,Canada,QF,L,De,24.1,33.3,45.8,33.3,28.2,29.8,44.7,45.8,33.3,37.2,44.0,45.5,66.7,21.2,24.2,61.5,74,hard
2023,Canada,R16,W,Musetti,29.1,45.5,64.7,73.9,42.0,34.3,54.3,64.7,73.9,54.6,56.3,42.1,,26.7,40.0,45.5,102,hard
2023,Canada,R32,W,Arnaldi,34.4,44.3,62.9,58.6,44.4,32.6,44.2,62.9,58.6,46.7,50.0,52.0,100.0,53.8,61.5,83.3,309,hard
2023,Wimbledon,SF,L,Alcaraz,18.8,28.7,45.9,57.6,27.0,29.8,42.6,45.9,57.6,43.8,45.5,52.0,33.3,3.4,10.3,32.1,-85,grass
2023,Wimbledon,QF,W,Eubanks,50.0,58.1,52.6,50.0,55.2,58.1,66.3,52.6,50.0,65.7,50.0,44.0,50.0,36.4,45.5,57.1,120,grass
2023,Wimbledon,R16,W,Lehecka,44.7,53.2,62.5,91.7,50.2,58.6,72.4,62.5,91.7,67.6,57.1,53.3,,25.0,25.0,33.3,89,grass
2023,Wimbledon,R32,W,Fucsovics,29.9,40.9,57.1,64.6,40.6,33.0,47.4,57.1,64.6,47.0,53.3,42.3,66.7,24.0,24.0,31.6,102,grass
2023,Wimbledon,R64,W,Mannarino,26.5,39.8,58.8,65.1,36.2,33.8,53.8,58.8,65.1,48.5,77.4,38.2,25.0,13.8,13.8,48.0,15,grass
2023,Wimbledon,R128,W,Fery,37.9,54.0,51.0,60.0,45.6,46.4,66.1,51.0,60.0,58.4,50.0,46.4,0.0,25.0,35.7,38.1,67,grass
2023,Halle,QF,L,Bautista,28.4,43.2,50.8,54.1,36.0,38.3,56.7,50.8,54.1,49.5,43.3,33.3,50.0,8.3,16.7,45.5,-39,grass
2023,Halle,R16,W,Djere,34.7,45.5,57.6,64.1,40.9,41.8,55.2,57.6,64.1,51.2,63.0,40.0,66.7,25.9,33.3,45.0,108,grass
2023,Halle,R32,W,Giron,30.8,50.8,52.3,48.4,38.8,36.7,53.1,52.3,48.4,47.3,30.8,47.8,100.0,13.3,46.7,61.5,16,grass
2023,s Hertogenbosch,R16,L,Mannarino,29.9,40.3,49.0,51.9,36.1,40.0,53.3,49.0,51.9,50.7,52.4,41.7,50.0,18.5,25.9,45.5,54,grass
2023,Roland Garros,R128,L,Seyboth,26.5,33.0,49.6,50.6,31.4,33.1,43.2,49.6,50.6,40.7,49.0,49.3,50.0,19.2,19.2,47.6,46,clay
2023,Rome,F,W,Rune,29.2,38.5,54.8,59.3,38.5,37.2,51.2,54.8,59.3,51.2,63.2,41.7,33.3,16.7,16.7,46.7,32,clay
2023,Rome,SF,W,Tsitsipas,25.8,35.5,59.1,75.0,34.5,33.3,50.0,59.1,75.0,48.3,70.6,36.8,,16.7,16.7,40.0,37,clay
2023,Rome,QF,W,Hanfmann,25.0,32.4,50.0,56.5,30.4,39.5,52.6,50.0,56.5,49.2,57.9,52.6,50.0,8.7,8.7,42.9,-45,clay
2023,Rome,R16,W,Zverev,22.1,30.9,66.0,72.4,28.4,34.1,45.5,66.0,72.4,43.9,70.0,29.2,50.0,0.0,4.8,57.1,-118,clay
2023,Rome,R32,W,Zapata,23.9,36.6,61.2,60.6,30.3,28.3,47.8,61.2,60.6,38.0,59.1,41.7,33.3,20.0,20.0,62.5,58,clay
2023,Rome,R64,W,Ruusuvuori,27.8,31.5,48.6,52.4,32.0,40.0,42.9,48.6,52.4,46.6,66.7,45.0,,5.9,11.8,43.8,-60,clay
2023,Madrid,R16,L,Karatsev,36.1,42.6,46.2,48.1,41.3,37.2,46.5,46.2,48.1,44.7,61.9,27.3,,33.3,33.3,41.7,-79,clay
2023,Madrid,R32,W,Shevchenko,20.2,34.5,50.6,51.1,26.7,29.9,47.8,50.6,51.1,41.5,40.5,60.0,57.1,8.7,19.6,50.0,-33,clay
2023,Madrid,R64,W,Vavassori,35.7,50.0,68.8,61.9,44.1,41.7,61.1,68.8,61.9,54.7,70.6,42.1,50.0,31.3,37.5,81.8,157,clay
2023,Monte Carlo,QF,L,Rune,27.6,34.5,47.5,42.3,32.1,27.8,38.9,47.5,42.3,35.0,63.2,35.3,33.3,30.0,30.0,57.1,59,clay
2023,Monte Carlo,R16,W,Zverev,18.4,27.2,52.6,59.0,23.7,30.4,41.1,52.6,59.0,40.0,53.6,57.1,66.7,5.1,12.8,45.9,-71,clay
2023,Monte Carlo,R32,W,Sonego,26.4,45.3,66.7,81.3,36.4,42.9,67.9,66.7,81.3,61.8,30.8,33.3,0.0,12.5,31.3,50.0,-2,clay
2023,Miami,F,W,Sinner,36.5,49.2,61.8,73.7,42.4,48.6,62.2,61.8,73.7,58.6,56.3,42.9,75.0,25.0,40.0,46.7,93,hard
2023,Miami,SF,W,Khachanov,34.4,46.2,58.2,55.6,40.0,44.6,56.9,58.2,55.6,52.6,51.7,38.9,0.0,13.6,27.3,63.2,0,hard
2023,Miami,QF,W,Eubanks,39.4,52.1,52.6,61.9,43.7,52.3,65.9,52.6,61.9,59.1,36.8,24.0,40.0,22.7,36.4,41.2,86,hard
