year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2020,Australian Open,R16,L,Thiem,28.8,36.5,40.5,39.2,35.8,35.4,43.0,40.5,39.2,44.6,58.3,53.5,45.5,8.0,16.0,43.5,-79,hard
2020,Australian Open,R64,W,Karlovic,38.1,46.8,64.8,75.9,43.0,40.7,51.6,64.8,75.9,47.5,31.4,46.4,,39.3,42.9,29.4,224,hard
2019,Paris,QF,L,Shapovalov,23.2,39.3,40.0,42.3,29.6,21.2,39.4,40.0,42.3,32.1,58.8,31.3,0.0,30.0,45.0,35.7,118,clay
2019,Paris,R16,W,Albot,37.2,51.2,46.3,54.2,41.9,53.8,69.2,46.3,54.2,61.5,64.3,37.5,33.3,11.8,23.5,40.0,-79,clay
2019,Vienna,SF,L,Schwartzman,15.4,26.9,46.3,48.1,21.5,22.9,34.3,46.3,48.1,32.0,55.6,41.2,0.0,0.0,14.3,42.9,-118,hard
2019,Vienna,QF,W,Bedene,46.3,51.9,60.0,63.2,49.3,47.2,52.8,60.0,63.2,51.7,41.2,42.1,0.0,57.1,64.3,50.0,258,hard
2019,Vienna,R16,W,Sinner,41.8,49.4,55.0,63.6,45.7,54.2,64.6,55.0,63.6,60.6,64.3,47.1,66.7,28.0,32.0,44.4,130,hard
2019,Antwerp,R16,L,Sinner,27.1,40.7,39.5,36.0,33.2,30.6,47.2,39.5,36.0,40.6,43.8,50.0,20.0,27.8,38.9,46.2,121,hard
2019,Shanghai,R32,L,Hurkacz,27.7,30.8,46.7,39.3,32.9,33.3,38.1,46.7,39.3,41.4,45.0,45.5,33.3,19.0,19.0,58.8,53,hard
2019,US Open,QF,L,Berrettini,24.1,35.8,56.6,54.7,32.1,34.7,49.0,56.6,54.7,48.0,35.9,45.8,60.0,10.6,21.3,59.5,-32,hard
2019,US Open,R32,W,Shapovalov,32.2,42.9,53.0,57.3,39.8,39.5,52.4,53.0,57.3,50.3,54.0,35.1,0.0,16.7,22.9,45.0,48,hard
2019,Canada,R16,W,Hurkacz,26.9,38.5,62.9,70.8,35.0,33.3,50.0,62.9,70.8,45.0,56.3,45.0,0.0,15.4,15.4,45.5,19,hard
2019,Canada,R64,W,Polansky,35.1,46.8,51.8,53.3,39.9,45.5,61.8,51.8,53.3,53.6,48.1,35.7,25.0,23.5,29.4,50.0,107,hard
2019,Roland Garros,R128,W,Daniel,30.7,48.0,60.4,72.0,39.9,40.5,61.9,60.4,72.0,56.9,58.8,48.0,75.0,20.7,34.5,47.8,82,clay
2019,Madrid,R16,L,Federer,22.9,41.0,47.3,51.3,30.7,35.0,58.3,47.3,51.3,48.7,44.4,51.5,50.0,7.9,21.1,42.9,-45,clay
2019,Estoril,QF,L,Davidovich,10.8,16.7,48.3,49.3,15.1,10.7,15.5,48.3,49.3,16.0,48.7,57.8,44.4,12.5,25.0,42.9,4,clay
2019,Indian Wells,R16,W,Kohlschreiber,30.0,35.0,69.2,60.0,34.0,42.3,50.0,69.2,60.0,48.5,76.9,38.5,,8.3,8.3,81.8,-39,hard
2019,Indian Wells,R64,W,Mayer,18.1,32.5,60.9,61.4,26.3,24.1,41.4,60.9,61.4,35.9,51.7,37.9,66.7,4.8,14.3,60.0,-74,hard
2019,Dubai,SF,L,Tsitsipas,20.9,31.0,56.1,64.4,28.4,27.2,40.7,56.1,64.4,39.1,56.1,52.5,33.3,11.4,15.9,43.6,-3,hard
2019,Dubai,QF,W,Berankis,38.5,43.6,45.7,52.0,41.0,45.7,54.3,45.7,52.0,50.0,40.0,46.2,0.0,30.0,30.0,38.1,16,hard
2019,Dubai,R16,W,Baghdatis,41.1,50.0,45.2,52.6,45.7,48.6,59.5,45.2,52.6,55.7,50.0,28.6,25.0,29.4,35.3,33.3,80,hard
2019,Dubai,R32,W,Cilic,30.6,43.5,61.9,69.6,37.3,36.1,55.6,61.9,69.6,47.5,47.4,41.2,100.0,24.0,28.0,52.6,-21,hard
2019,Rotterdam,F,W,Wawrinka,22.0,34.1,50.8,46.2,28.3,27.8,42.6,50.8,46.2,37.4,34.6,28.6,25.0,12.0,20.0,59.1,0,hard
2019,Rotterdam,SF,W,Medvedev,17.0,25.5,54.8,52.6,26.5,19.7,29.6,54.8,52.6,32.3,54.3,38.9,,11.1,16.7,62.5,-22,hard
2019,Rotterdam,QF,W,Dzumhur,25.0,36.7,54.8,53.8,29.3,27.8,38.9,54.8,53.8,35.0,50.0,50.0,0.0,23.8,38.1,56.3,110,hard
2019,Sofia,SF,L,Medvedev,15.9,25.4,50.0,61.3,24.4,22.5,37.5,50.0,61.3,36.0,42.9,42.1,40.0,5.6,5.6,29.4,-70,hard
2019,Sofia,QF,W,Tsitsipas,40.7,50.8,65.6,86.7,48.0,51.6,67.7,65.6,86.7,65.5,53.3,43.8,,32.0,36.0,47.1,83,hard
2019,Sofia,R16,W,Kukushkin,48.4,53.1,42.9,58.3,50.0,67.6,73.0,42.9,58.3,70.3,50.0,52.4,66.7,27.3,31.8,31.3,126,hard
2019,Sofia,R32,W,Troicki,39.3,47.5,69.0,61.5,43.6,58.1,71.0,69.0,61.5,66.5,64.3,41.2,0.0,27.3,31.8,75.0,102,hard
2018,Antwerp,F,L,Edmund,38.1,50.5,59.3,52.6,45.1,47.2,61.1,59.3,52.6,57.5,74.2,56.1,40.0,22.2,33.3,71.4,88,hard
2018,Kaohsiung CH,F,W,Kwon,36.1,45.8,46.2,50.0,41.1,46.3,61.0,46.2,50.0,55.1,64.7,33.3,0.0,29.2,33.3,41.2,130,hard
2018,Kaohsiung CH,SF,W,Lee,56.3,60.4,35.0,33.3,57.3,75.0,79.2,35.0,33.3,77.1,70.0,35.7,50.0,39.1,43.5,35.7,-16,hard
2018,Kaohsiung CH,QF,W,Gulbis,35.6,47.5,78.1,76.5,40.0,48.5,60.6,78.1,76.5,56.4,56.3,35.3,100.0,25.0,40.0,80.0,93,hard
2018,Roland Garros,R32,L,Goffin,22.7,31.4,41.2,44.0,28.2,26.3,37.7,41.2,44.0,34.6,27.3,54.2,50.0,16.1,19.6,36.2,-27,clay
2018,Australian Open,R64,L,Djokovic,21.9,27.2,47.3,48.8,25.2,28.3,36.7,47.3,48.8,34.5,43.8,35.7,33.3,20.5,23.1,45.2,45,hard
2018,Doha,F,W,Rublev,38.3,45.0,57.6,60.0,41.0,48.7,53.8,57.6,60.0,52.8,44.4,52.4,100.0,23.5,35.3,53.8,91,hard
2017,Eastbourne,F,L,Djokovic,25.4,33.3,45.7,51.6,28.7,31.1,37.8,45.7,51.6,35.8,47.6,41.7,33.3,11.8,23.5,33.3,4,grass
2017,Roland Garros,R128,W,Brown,33.7,50.0,55.6,59.0,42.2,38.1,55.6,55.6,59.0,49.7,36.7,75.8,33.3,25.0,40.0,46.7,118,clay
2017,Madrid,R64,L,Simon,25.0,40.3,40.0,45.5,30.6,31.3,47.9,40.0,45.5,39.6,70.6,74.2,,15.0,30.0,29.4,19,clay
2017,Indian Wells,R16,L,Thiem,23.6,34.5,40.5,45.0,30.5,31.0,44.8,40.5,45.0,44.1,58.3,41.2,50.0,15.4,23.1,36.4,-79,hard
2016,Tour Finals,RR,L,Raonic,30.8,49.2,46.5,57.9,37.8,42.4,66.7,46.5,57.9,56.4,64.3,52.6,33.3,20.0,33.3,37.5,16,hard
2016,Tour Finals,RR,L,Thiem,31.2,44.2,52.1,58.8,35.6,55.3,60.5,52.1,58.8,64.2,43.8,31.8,66.7,8.8,32.4,48.4,-33,hard
2016,Tokyo,R16,W,Simon,34.0,47.2,53.1,58.8,38.9,48.5,60.6,53.1,58.8,56.4,71.4,47.4,0.0,11.8,29.4,46.7,-8,hard
2016,US Open,SF,L,Djokovic,25.2,33.3,39.4,43.6,31.1,33.9,45.8,39.4,43.6,44.9,56.0,44.1,9.1,20.0,25.0,34.4,54,hard
2016,US Open,QF,W,Pouille,33.3,44.0,66.7,70.8,39.7,48.9,61.7,66.7,70.8,59.1,52.4,46.2,,7.7,15.4,62.5,-39,hard
2016,Canada,SF,L,Djokovic,16.7,29.2,38.5,58.8,24.2,26.1,52.2,38.5,58.8,41.7,63.6,33.3,0.0,8.3,8.3,22.7,-30,hard
2016,Washington,F,W,Karlovic,52.8,58.5,44.2,38.5,53.8,63.9,66.7,44.2,38.5,65.3,38.7,41.5,50.0,37.0,51.9,52.9,205,hard
2016,Monte Carlo,F,L,Nadal,9.2,21.4,46.3,44.6,16.7,12.5,28.1,46.3,44.6,24.1,61.8,23.3,11.1,3.7,11.1,50.0,-86,clay
2016,Monte Carlo,SF,W,Tsonga,20.4,30.6,50.0,56.7,28.2,25.0,35.0,50.0,56.7,34.5,31.3,70.8,100.0,0.0,12.5,25.0,-118,clay
2016,Monte Carlo,R32,W,Lorenzi,18.4,26.5,65.0,58.1,26.1,16.2,27.0,65.0,58.1,26.5,44.4,84.2,,25.0,25.0,88.9,-79,clay
2016,Indian Wells,R16,W,Delbonis,27.5,43.1,66.7,60.9,34.5,34.3,51.4,66.7,60.9,44.6,69.2,36.4,0.0,13.3,26.7,76.9,16,hard
2016,Davis Cup,RR,W,Dancevic,42.4,62.1,60.5,64.0,50.5,46.8,61.7,60.5,64.0,58.1,40.9,52.0,,31.6,63.2,53.8,-79,hard
2016,Rotterdam,F,L,Klizan,34.3,41.4,35.5,44.4,38.6,41.9,51.6,35.5,44.4,48.7,58.1,41.9,66.7,23.5,26.5,23.1,44,hard
2016,Australian Open,QF,L,Raonic,36.4,46.7,53.2,58.8,42.8,47.7,63.1,53.2,58.8,58.2,38.2,51.6,40.0,22.2,25.0,46.4,91,hard
2015,Paris,R64,L,Paire,32.7,41.6,57.4,67.6,39.1,38.3,50.0,57.4,67.6,49.2,57.7,35.3,50.0,29.4,35.3,41.7,150,clay
2015,Vienna,SF,L,Ferrer,25.0,40.8,68.1,74.1,35.1,32.5,50.0,68.1,74.1,51.7,52.6,42.9,50.0,23.1,42.3,60.0,65,hard
2015,Vienna,QF,W,Rosol,40.2,51.1,54.0,62.1,47.3,54.0,65.1,54.0,62.1,64.3,46.7,39.4,,12.5,25.0,42.9,-4,hard
2015,Stuttgart,R16,W,Haider,35.5,51.3,59.0,58.3,43.0,50.0,68.8,59.0,58.3,61.9,37.5,40.6,0.0,16.7,33.3,60.0,1,grass
2015,Roland Garros,R16,L,Federer,18.9,26.2,47.3,50.0,23.3,22.7,30.7,47.3,50.0,29.9,36.4,38.1,28.6,14.6,22.0,42.9,29,clay
