year,tourney,round,opponent,overall: Unret%,overall: <=3 W%,overall: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: RiP W%,1st: SvImpact,1st: D Wide%,1st: A Wide%,1st: A BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2020,Acapulco,F,Fritz,32.6,54.3,75.9,42.8,34.5,58.6,73.7,50.7,42.9,46.7,0.0,33.3,53.3,80.0,99,False,False,True,True
2020,Acapulco,SF,Dimitrov,18.5,33.8,50.0,27.4,19.5,39.0,60.6,33.7,16.7,47.8,60.0,19.0,28.6,29.4,65,False,False,True,True
2020,Australian Open,QF,Thiem,30.5,45.7,49.0,38.7,37.1,56.2,50.0,49.0,23.8,60.3,66.7,16.3,23.3,47.2,20,False,False,True,False
2020,Australian Open,R16,Kyrgios,23.1,36.4,73.0,35.6,27.5,41.3,77.6,46.4,55.2,33.3,60.80416666666667,16.2,29.7,64.5,43,False,False,True,True
2020,Australian Open,R32,Carreno,43.5,59.7,71.4,52.9,51.3,71.8,73.7,66.2,66.7,52.4,60.80416666666667,30.4,39.1,68.8,-79,False,False,True,True
2020,Atp Cup,F,Djokovic,28.6,35.7,53.2,35.6,35.3,45.1,63.6,44.9,60.0,51.6,40.0,12.5,12.5,28.6,-2,False,False,True,False
2019,Davis Cup,RR,Shapovalov,35.1,48.6,61.7,45.9,41.2,60.8,70.0,56.9,76.5,55.9,0.0,22.7,22.7,47.1,-13,False,False,True,True
2019,Tour Finals,RR,Zverev,23.3,26.7,41.3,27.0,29.7,35.1,46.2,35.7,55.6,52.6,50.0,13.0,13.0,35.0,-79,False,False,True,False
2019,Tour Finals,RR,Tsitsipas,32.3,45.2,66.7,41.0,41.0,55.7,75.0,54.3,36.4,51.3,60.80416666666667,17.2,27.6,54.2,54,False,False,True,True
2019,Tour Finals,RR,Medvedev,24.3,36.4,58.2,31.0,27.5,44.9,62.0,38.0,46.7,59.0,50.0,19.4,22.2,51.7,1,False,False,True,True
2019,Paris,QF,Tsonga,36.2,46.6,66.7,47.8,47.5,60.0,85.7,64.3,58.8,47.8,60.80416666666667,11.8,17.6,40.0,4,False,False,True,True
2019,Laver Cup,RR,Raonic,22.4,32.9,56.9,28.2,25.0,33.3,52.8,34.2,23.8,59.3,83.3,18.5,33.3,63.6,-25,False,False,True,True
2019,US Open,F,Medvedev,18.9,32.7,61.3,27.0,28.3,51.1,68.2,42.3,35.0,61.5,100.0,6.5,8.1,53.4,-52,False,False,True,True
2019,US Open,SF,Berrettini,24.0,48.0,83.0,33.2,31.7,53.7,85.7,48.5,35.0,47.6,60.80416666666667,16.7,46.7,80.0,44,False,False,True,True
