year,tourney,round,opponent,overall: Unret%,overall: <=3 W%,overall: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: RiP W%,1st: SvImpact,1st: D Wide%,1st: A Wide%,1st: A BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2017,Vienna,R32,Fognini,29.3,41.4,61.0,35.5,37.5,56.3,70.0,48.8,50.0,22.2,32.961946902654866,19.2,23.1,52.4,-79,False,False,True,True
2017,Antwerp,F,Tsonga,31.6,33.3,37.8,34.6,34.3,37.1,39.1,39.1,82.4,44.4,0.0,30.0,30.0,35.7,59,False,False,True,False
2017,Antwerp,SF,Tsitsipas,21.8,29.1,57.5,30.0,24.3,32.4,60.7,36.5,72.2,31.6,0.0,20.0,26.7,50.0,65,False,False,True,True
2017,Tokyo,QF,Johnson,20.3,35.6,68.1,29.5,27.0,43.2,70.4,41.6,61.1,21.1,32.961946902654866,9.1,22.7,65.0,-79,False,False,True,True
2017,US Open,R16,Pouille,20.6,27.2,50.5,25.9,27.1,34.1,48.4,35.5,64.9,39.6,42.9,10.9,17.4,53.7,-8,False,False,True,True
2017,US Open,R32,Cilic,17.2,22.8,51.8,22.6,21.2,28.3,53.8,29.0,55.6,22.2,0.0,10.0,12.5,47.2,-18,False,False,True,True
2017,Canada,R32,Thiem,18.2,25.6,52.1,22.5,21.4,31.0,53.0,27.6,52.6,45.7,57.1,12.5,15.6,50.0,1,False,False,True,True
2017,Roland Garros,R32,Djokovic,17.6,22.2,44.6,22.7,21.3,27.7,50.0,29.6,56.4,25.5,20.0,13.0,14.8,36.2,12,True,False,False,False
2017,Madrid,R32,Nishikori,11.0,19.5,44.1,16.1,9.6,21.2,53.2,17.7,47.6,35.5,16.7,16.0,20.0,23.8,29,True,False,False,False
2017,Monte Carlo,QF,Nadal,5.2,12.1,43.6,9.8,6.5,16.1,44.8,15.2,85.7,17.6,0.0,3.7,7.4,42.3,-79,True,False,False,False
2017,Marrakech,R32,Coric,13.1,26.2,48.0,18.2,13.8,31.0,44.0,24.5,71.4,26.7,25.0,13.8,24.1,52.0,19,True,False,False,False
2017,Sao Paulo,QF,Cuevas,23.5,31.6,50.0,29.7,28.1,35.9,50.0,37.7,40.0,52.9,50.0,16.1,25.8,50.0,44,True,False,False,False
2017,Rio de Janeiro,QF,Thiem,6.1,16.3,40.9,10.4,3.6,14.3,48.1,11.1,37.5,50.0,75.0,10.5,21.1,29.4,-13,True,False,False,False
2016,Istanbul,F,Dimitrov,6.3,10.5,46.6,10.4,7.9,12.7,46.6,14.1,40.7,19.4,0.0,3.2,6.5,46.7,-82,False,False,True,True
2016,Rio de Janeiro,R16,Thiem,10.8,23.0,49.2,15.7,19.5,34.1,51.5,28.3,50.0,72.0,80.0,0.0,10.0,46.7,-118,True,False,False,False
2016,Buenos Aires,R16,Lorenzi,15.2,23.9,43.2,19.1,22.8,33.3,45.5,29.1,64.0,50.0,75.0,3.2,9.7,40.0,-87,True,False,False,False
2015,Montevideo CH,SF,Cervantes,11.8,22.1,52.6,20.4,14.3,28.6,52.4,26.3,60.9,65.4,60.0,6.3,6.3,53.3,-60,True,False,False,False
2015,Montevideo CH,QF,Zeballos,25.0,34.4,55.2,29.5,27.3,36.4,55.0,35.1,84.2,22.2,0.0,25.0,36.1,55.6,106,True,False,False,True
2015,Montevideo CH,R32,Luz,15.2,30.4,63.5,24.1,16.7,33.3,70.0,31.3,59.1,61.5,66.7,14.8,29.6,52.2,24,True,False,False,True
2015,Guayaquil CH,F,Elias,9.6,17.3,45.2,13.5,13.8,27.6,40.0,20.7,50.0,60.0,66.7,5.6,5.6,52.9,-70,True,False,False,False
2015,Guayaquil CH,SF,Trungelliti,20.4,26.9,53.5,25.8,25.8,32.3,54.3,33.9,51.7,45.5,28.6,10.7,17.9,52.0,-12,True,False,False,True
2015,Guayaquil CH,R16,Novak,19.0,31.0,50.6,24.8,20.3,35.9,51.0,30.9,48.3,42.9,16.7,20.9,30.2,50.0,50,True,False,False,True
2015,Corrientes CH,F,Gonzalez,14.3,22.4,54.3,19.0,18.0,31.1,58.0,25.6,51.9,38.2,20.0,13.0,13.0,45.0,9,True,False,False,False
2015,Corrientes CH,SF,Arguello,17.5,22.5,69.7,19.0,23.1,23.1,65.0,25.4,36.4,53.3,0.0,7.1,21.4,76.9,-79,True,False,False,True
2015,Corrientes CH,QF,Linzer,21.0,38.7,55.0,27.4,22.9,45.7,59.3,34.3,37.5,52.6,50.0,27.8,44.4,46.2,102,True,False,False,True
2015,Corrientes CH,R16,Dellien,14.0,22.8,58.5,16.7,21.2,30.3,65.4,25.8,26.7,44.4,0.0,6.3,18.8,46.7,-60,True,False,False,True
2015,Corrientes CH,R32,Romboli,20.0,30.0,43.5,25.2,30.3,45.5,56.5,39.7,62.5,47.1,0.0,8.0,12.0,30.4,-37,True,False,False,True
2015,Potro Alegre CH,F,Pella,13.9,26.4,45.8,18.9,13.6,27.3,52.6,21.8,82.4,14.8,0.0,16.0,28.0,33.3,39,True,False,False,False
2015,Potro Alegre CH,SF,Berlocq,11.8,27.3,57.4,21.1,14.9,31.1,54.0,28.6,53.1,54.8,16.7,6.1,21.2,64.5,-57,True,False,False,True
2015,Potro Alegre CH,R16,Lindell,22.2,31.1,76.5,28.0,16.1,29.0,73.1,24.5,60.0,75.0,32.961946902654866,38.5,38.5,87.5,29,True,False,False,True
2015,Potro Alegre CH,R32,Luz,22.8,24.6,66.7,30.0,28.6,31.4,80.0,40.3,60.0,55.0,66.7,15.0,15.0,47.1,32,True,False,False,True
2015,Campinas CH,F,Arguello,22.4,27.6,46.2,24.5,36.8,42.1,45.8,41.1,84.2,63.2,66.7,9.7,16.1,46.4,-31,True,False,False,False
2015,Campinas CH,SF,Bagnis,15.1,20.5,55.9,18.6,19.6,28.3,70.3,25.2,77.8,28.6,0.0,8.3,8.3,31.8,-33,True,False,False,True
2015,Campinas CH,QF,Kicker,17.5,24.6,58.7,22.1,21.4,35.7,68.2,30.7,69.2,53.3,0.0,14.3,14.3,50.0,-27,True,False,False,True
2015,Campinas CH,R16,Andreozzi,24.0,33.0,56.5,30.3,31.3,50.0,63.6,44.4,57.1,44.4,25.0,20.0,20.0,50.0,72,True,False,False,True
2015,Campinas CH,R32,Pereira,20.0,33.3,59.1,27.0,21.2,39.4,65.4,33.9,73.3,55.6,50.0,21.7,30.4,50.0,86,True,False,False,True
2015,US Open,R64,Nadal,15.4,22.8,45.5,21.1,15.4,25.6,50.0,24.4,70.0,15.8,50.0,16.7,19.0,37.1,-10,False,False,True,False
2015,Bastad,R32,Istomin,7.0,12.3,58.0,10.0,5.9,8.8,56.3,10.9,50.0,44.4,100.0,10.0,20.0,61.1,-18,True,False,False,False
2015,Istanbul,SF,Federer,14.7,26.5,52.3,21.0,21.1,35.1,66.7,32.3,37.0,66.7,60.0,6.8,15.9,36.6,-45,False,False,True,False
2015,Istanbul,R16,Melzer,36.2,46.8,53.3,40.9,44.1,50.0,36.8,50.6,50.0,43.8,100.0,15.4,38.5,81.8,-79,False,False,True,True
2015,Miami,R128,Thiem,5.9,12.9,48.6,10.4,8.0,16.0,47.8,15.6,53.6,72.7,80.0,3.4,10.3,50.0,-87,False,False,True,False
2015,Indian Wells,R64,Federer,15.5,19.0,46.8,19.5,15.2,18.2,53.6,22.1,36.4,50.0,80.0,17.4,21.7,36.8,42,False,False,True,False
2015,Indian Wells,R128,Janowicz,25.2,37.9,52.8,31.9,31.4,49.0,57.1,44.9,37.0,33.3,100.0,21.3,29.8,48.6,67,False,False,True,True
2014,Guayaquil CH,R16,Hernandez,25.0,34.2,45.3,31.3,26.0,38.0,51.4,35.6,72.2,59.4,50.0,27.3,31.8,31.3,136,True,False,False,True
2014,Campinas CH,F,Ghem,26.2,36.9,41.7,30.7,21.9,34.4,38.0,29.1,75.8,51.6,100.0,37.1,45.7,50.0,76,True,False,False,True
2014,Roland Garros,R64,Federer,17.9,23.2,50.0,20.7,21.6,27.5,47.5,26.9,35.0,51.6,40.0,15.0,20.0,52.9,32,True,False,False,False
