year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2023,Australian Open,R32,W,Dimitrov,27.7,39.3,53.2,61.8,34.6,32.1,48.1,53.2,61.8,41.6,48.4,36.0,0.0,17.2,17.2,33.3,19,hard
2023,Australian Open,R64,W,Couacaud,31.1,41.5,67.2,73.7,39.8,40.6,56.3,67.2,73.7,55.0,51.9,51.4,100.0,19.4,22.2,58.6,65,hard
2023,Australian Open,R128,W,Carballes,37.1,52.9,67.4,75.0,44.4,46.7,66.7,67.4,75.0,58.0,69.6,68.2,0.0,20.8,29.2,57.9,-19,hard
2023,Adelaide 1,SF,W,Medvedev,39.3,49.2,61.8,69.2,43.4,62.9,77.1,61.8,69.2,70.0,53.3,40.0,0.0,8.7,13.0,57.1,-33,hard
2022,Tour Finals,RR,W,Medvedev,28.2,45.0,57.1,66.0,38.7,37.6,60.0,57.1,66.0,53.8,69.2,50.0,20.0,11.6,18.6,44.7,2,hard
2022,Paris,F,L,Rune,32.5,50.0,57.7,71.0,43.6,39.2,64.7,57.7,71.0,56.7,54.2,51.9,100.0,22.2,25.9,38.1,25,hard
2022,Paris,SF,W,Tsitsipas,35.9,52.6,66.7,69.0,45.3,42.0,64.0,66.7,69.0,56.6,42.9,44.8,50.0,26.9,34.6,63.2,-79,hard
2022,Astana,SF,W,Medvedev,14.9,32.8,57.9,68.8,26.6,23.8,52.4,57.9,68.8,42.4,69.2,48.3,0.0,0.0,0.0,44.0,-118,hard
2022,Astana,R16,W,Van,19.6,35.3,65.9,75.0,31.0,20.0,40.0,65.9,75.0,34.5,60.0,30.0,50.0,18.2,18.2,33.3,-79,hard
2022,Tel Aviv,F,W,Cilic,40.4,50.9,63.3,69.2,43.0,63.9,72.2,63.3,69.2,68.1,38.9,44.4,0.0,0.0,17.6,58.8,-118,hard
2022,Tel Aviv,SF,W,Safiullin,40.6,46.9,52.8,63.2,44.7,55.8,65.1,52.8,63.2,61.9,57.1,63.6,50.0,10.5,10.5,41.2,-13,hard
2022,Laver Cup,RR,L,Auger,21.2,28.8,47.9,54.3,27.0,25.5,34.0,47.9,54.3,33.6,37.5,43.5,50.0,13.3,20.0,30.8,-2,hard
2022,Wimbledon,F,W,Kyrgios,35.3,45.4,67.1,68.3,38.7,45.3,54.7,67.1,68.3,50.8,45.5,45.2,0.0,21.6,35.1,65.5,82,grass
2022,Wimbledon,SF,W,Norrie,37.5,45.5,59.3,64.3,42.5,50.9,57.9,59.3,64.3,58.6,50.0,41.4,100.0,13.3,23.3,53.8,-30,grass
2022,Wimbledon,QF,W,Sinner,34.4,47.7,55.7,66.7,41.0,47.1,60.0,55.7,66.7,57.1,45.2,48.8,50.0,10.5,26.3,41.2,-16,grass
2022,Wimbledon,R16,W,Van,33.0,43.3,61.9,58.3,39.2,41.0,50.8,61.9,58.3,50.8,42.3,48.6,25.0,20.6,32.4,66.7,5,grass
2022,Roland Garros,QF,L,Nadal,10.7,25.7,53.7,56.5,19.3,14.1,32.3,53.7,56.5,26.3,54.5,43.6,33.3,2.7,10.8,47.2,-91,clay
2022,Rome,F,W,Tsitsipas,30.2,41.5,63.9,68.2,38.3,40.5,54.1,63.9,68.2,52.2,64.3,30.4,100.0,6.7,13.3,57.1,-49,clay
2022,Rome,SF,W,Ruud,7.8,15.7,67.4,66.7,15.3,9.1,21.2,67.4,66.7,20.6,50.0,19.0,0.0,5.9,5.9,68.8,-57,clay
2022,Rome,QF,W,Auger,26.7,40.0,60.0,62.5,35.9,29.8,45.6,60.0,62.5,41.9,50.0,35.5,33.3,16.7,22.2,53.3,-79,clay
2022,Rome,R16,W,Wawrinka,31.3,37.5,54.5,62.5,36.9,33.3,41.7,54.5,62.5,40.8,40.0,57.1,0.0,25.0,25.0,33.3,-79,clay
2022,Madrid,SF,L,Alcaraz,31.8,38.8,51.2,48.2,36.7,34.1,37.6,51.2,48.2,41.5,43.2,45.8,57.1,28.6,42.9,56.7,-10,clay
2022,Madrid,R32,W,Monfils,17.6,23.5,60.4,60.6,23.2,23.3,32.6,60.4,60.6,32.1,57.1,31.8,25.0,9.1,9.1,60.0,-30,clay
2022,Belgrade ,F,L,Rublev,25.3,33.0,38.1,36.8,30.5,33.3,43.9,38.1,36.8,41.8,57.7,45.2,50.0,13.8,17.2,40.0,11,hard
2022,Monte Carlo,R32,L,Davidovich,12.8,20.8,44.2,47.7,19.3,14.5,26.3,44.2,47.7,25.1,26.5,52.4,41.7,11.4,13.6,38.5,-6,clay
2021,Tour Finals,SF,L,Zverev,43.5,54.3,49.0,62.5,49.8,60.7,73.8,49.0,62.5,70.2,48.3,46.9,50.0,10.0,16.7,37.0,-30,hard
2021,Paris,F,W,Medvedev,20.9,41.9,54.5,70.0,33.0,29.8,57.9,54.5,70.0,48.1,48.0,43.8,50.0,3.7,11.1,30.8,-80,hard
2021,Paris,SF,W,Hurkacz,32.5,42.9,59.2,56.5,37.3,46.5,58.1,59.2,56.5,55.1,66.7,59.1,50.0,16.1,25.8,61.5,44,hard
2021,Paris,QF,W,Fritz,31.9,46.8,55.2,55.0,39.6,41.2,58.8,55.2,55.0,51.8,43.8,38.9,33.3,10.0,20.0,55.6,-33,hard
2021,US Open,F,L,Medvedev,23.9,33.7,52.2,67.7,31.0,38.0,52.0,52.2,67.7,51.0,55.6,47.8,50.0,7.7,12.8,38.9,-39,hard
2021,US Open,SF,W,Zverev,26.0,36.7,54.1,62.9,33.1,37.4,51.5,54.1,62.9,48.1,55.3,42.3,50.0,4.1,8.2,42.6,-75,hard
2021,US Open,QF,W,Berrettini,34.2,47.9,58.9,52.5,40.5,44.4,58.3,58.9,52.5,54.7,40.6,37.5,0.0,19.5,34.1,66.7,56,hard
2021,US Open,R16,W,Brooksby,29.5,42.9,52.1,53.8,36.1,40.9,54.5,52.1,53.8,51.4,46.9,44.1,20.0,10.5,23.7,50.0,-40,hard
2021,US Open,R32,W,Nishikori,34.4,45.8,54.4,56.8,40.5,46.3,58.5,54.4,56.8,56.1,47.4,54.5,50.0,16.7,28.6,51.4,39,hard
2021,US Open,R64,W,Griekspoor,50.0,56.9,48.4,55.0,56.0,57.4,68.1,48.4,55.0,66.6,40.9,44.0,0.0,45.0,45.0,36.4,224,hard
2021,Tokyo Olympics,BR,L,Carreno,28.7,42.5,59.3,62.1,37.9,40.8,61.2,59.3,62.1,57.1,62.5,51.5,0.0,14.3,20.0,56.7,27,hard
2021,Tokyo Olympics,SF,L,Zverev,20.3,27.8,37.1,37.8,24.9,28.8,38.5,37.1,37.8,36.0,48.1,44.0,25.0,3.8,7.7,36.0,-77,hard
2021,Tokyo Olympics,R16,W,Davidovich,37.5,47.9,58.6,60.0,42.9,53.1,65.6,58.6,60.0,61.2,66.7,41.2,0.0,6.7,13.3,57.1,-49,hard
2021,Tokyo Olympics,R32,W,Struff,48.3,55.2,44.8,53.3,54.1,63.4,68.3,44.8,53.3,71.7,70.6,33.3,100.0,12.5,25.0,35.7,10,hard
2021,Wimbledon,F,W,Berrettini,29.5,41.0,58.5,64.4,36.4,40.0,56.0,58.5,64.4,51.2,52.5,45.7,50.0,14.0,18.6,51.4,22,grass
2021,Wimbledon,SF,W,Shapovalov,31.3,50.0,62.5,65.9,40.9,40.6,66.7,62.5,65.9,56.2,61.3,39.5,16.7,18.4,26.3,58.1,61,grass
2021,Wimbledon,QF,W,Fucsovics,25.8,46.2,60.6,71.8,35.6,36.1,63.9,60.6,71.8,51.0,59.3,50.0,33.3,6.9,13.8,44.4,-49,grass
2021,Roland Garros,F,W,Tsitsipas,21.6,35.8,63.7,68.2,30.4,28.3,43.5,63.7,68.2,41.1,64.1,54.7,33.3,7.7,20.5,55.6,-39,clay
2021,Roland Garros,SF,W,Nadal,13.5,21.8,54.5,58.3,20.5,15.3,25.9,54.5,58.3,26.2,59.1,41.5,50.0,11.1,15.6,47.5,-3,clay
2021,Roland Garros,QF,W,Berrettini,28.0,46.2,63.8,63.8,36.6,37.0,57.6,63.8,63.8,49.2,53.5,59.2,33.3,7.7,20.5,63.9,-41,clay
2021,Belgrade 2,F,W,Molcan,18.4,26.5,54.1,57.9,25.1,29.6,40.7,54.1,57.9,41.9,38.5,57.1,0.0,5.3,10.5,50.0,-68,hard
2021,Rome,F,L,Nadal,21.1,26.3,50.7,52.2,24.4,27.0,33.3,50.7,52.2,32.1,61.8,48.3,75.0,10.7,14.3,48.0,-15,clay
2021,Rome,SF,W,Sonego,22.1,32.6,66.7,71.4,32.4,25.8,40.9,66.7,71.4,40.6,52.0,51.2,0.0,14.8,14.8,56.5,25,clay
2021,Belgrade,SF,L,Karatsev,21.6,28.4,47.1,50.0,26.1,22.2,31.9,47.1,50.0,29.6,45.7,56.8,33.3,23.7,26.3,41.4,107,hard
2021,Australian Open,F,W,Medvedev,25.6,34.6,58.9,58.8,34.0,34.6,48.1,58.9,58.8,47.1,45.8,57.1,0.0,8.3,8.3,59.1,-33,hard
2021,Australian Open,SF,W,Karatsev,40.7,44.4,47.8,46.7,42.6,45.5,50.9,47.8,46.7,48.2,45.8,54.8,75.0,33.3,33.3,50.0,37,hard
2021,Australian Open,QF,W,Zverev,35.2,45.7,48.0,50.0,42.4,44.5,57.1,48.0,50.0,54.4,51.9,41.8,28.6,10.5,15.8,44.1,-16,hard
2021,Australian Open,R16,W,Raonic,36.4,52.9,58.1,60.0,45.0,45.1,64.6,58.1,60.0,57.8,52.9,47.9,100.0,19.4,30.6,55.2,37,hard
2021,Australian Open,R32,W,Fritz,32.1,44.7,53.4,60.0,40.4,38.1,54.3,53.4,60.0,50.8,58.8,51.9,33.3,22.4,28.6,42.1,61,hard
2021,Australian Open,R64,W,Tiafoe,44.2,53.3,58.1,63.6,48.9,55.4,67.6,58.1,63.6,63.1,46.9,40.5,33.3,29.3,34.1,51.7,86,hard
2020,Tour Finals,SF,L,Thiem,34.2,43.9,56.0,73.2,41.8,44.6,56.8,56.0,73.2,56.4,41.9,46.5,0.0,15.0,20.0,35.3,-79,hard
2020,Tour Finals,RR,L,Medvedev,20.6,30.9,51.0,53.6,27.8,30.0,42.5,51.0,53.6,42.3,40.0,65.0,25.0,8.7,17.4,47.6,-39,hard
2020,Vienna,QF,L,Sonego,19.6,31.4,36.8,42.1,26.9,32.1,50.0,36.8,42.1,45.4,72.7,52.9,100.0,5.0,10.0,31.6,-70,hard
2020,Roland Garros,F,L,Nadal,5.1,15.2,48.9,45.9,13.2,7.6,21.2,48.9,45.9,19.8,45.5,42.4,30.0,0.0,3.4,55.2,-118,clay
2020,Roland Garros,SF,W,Tsitsipas,25.5,37.3,54.6,60.6,33.5,30.4,46.1,54.6,60.6,42.4,45.5,53.4,75.0,17.8,22.2,43.2,54,clay
2020,Roland Garros,QF,W,Carreno,22.1,29.0,55.7,58.5,29.3,30.3,40.8,55.7,58.5,42.6,55.9,50.0,33.3,12.0,14.0,52.3,2,clay
2020,Rome,F,W,Schwartzman,12.9,27.1,55.0,63.2,23.4,19.1,40.4,55.0,63.2,34.9,59.1,60.0,50.0,0.0,0.0,40.9,-118,clay
2020,Rome,SF,W,Ruud,27.8,41.8,55.4,54.3,34.4,34.0,49.1,55.4,54.3,43.8,40.9,64.5,28.6,16.0,28.0,57.1,-21,clay
2020,US Open,R32,W,Struff,30.9,40.7,64.7,64.5,38.1,41.5,54.7,64.7,64.5,52.6,50.0,34.5,33.3,13.0,17.4,65.0,0,hard
2020,Cincinnati,F,W,Raonic,26.3,36.8,52.9,58.3,28.9,38.5,48.7,52.9,58.3,43.6,40.0,68.4,0.0,15.6,28.1,48.1,31,hard
2020,Cincinnati,SF,W,Bautista,29.1,37.9,43.9,45.5,34.5,43.1,51.7,43.9,45.5,52.6,31.0,51.7,60.0,13.2,23.7,42.4,4,hard
2020,Dubai,F,W,Tsitsipas,26.3,36.8,59.5,68.0,33.9,30.6,44.4,59.5,68.0,42.5,66.7,53.3,100.0,19.0,23.8,47.1,-79,hard
2020,Dubai,SF,W,Monfils,20.8,31.3,48.0,48.1,28.0,23.9,36.6,48.0,48.1,33.7,40.0,43.9,25.0,12.5,16.7,47.6,-19,hard
2020,Australian Open,F,W,Thiem,23.9,36.6,59.8,66.7,32.3,27.6,42.5,59.8,66.7,40.6,42.9,51.1,100.0,19.0,28.6,47.1,69,hard
2020,Australian Open,SF,W,Federer,29.4,38.2,54.9,56.5,34.7,37.0,45.2,54.9,56.5,44.4,42.4,55.0,40.0,10.7,21.4,52.0,-27,hard
2020,Australian Open,QF,W,Raonic,35.6,44.6,61.4,77.8,40.2,45.5,57.6,61.4,77.8,52.4,40.0,52.8,50.0,22.2,25.9,33.3,-25,hard
2020,Australian Open,R16,W,Schwartzman,30.2,43.0,60.3,57.6,35.0,38.9,51.9,60.3,57.6,46.5,40.0,41.4,100.0,16.7,30.0,64.0,-30,hard
2020,Atp Cup,F,W,Nadal,35.9,57.8,69.2,71.4,46.3,42.9,67.3,69.2,71.4,56.3,57.1,50.0,66.7,15.4,30.8,63.6,29,hard
2020,Atp Cup,SF,W,Medvedev,19.8,31.5,56.0,59.3,28.5,28.0,44.0,56.0,59.3,40.8,42.4,50.0,60.0,3.2,6.5,50.0,-87,hard
2019,Tour Finals,RR,W,Berrettini,35.0,42.5,64.0,57.1,38.8,41.7,54.2,64.0,57.1,47.9,33.3,41.7,0.0,26.7,26.7,72.7,16,hard
2019,Tour Finals,RR,L,Thiem,29.0,36.6,50.0,56.8,34.2,36.2,46.6,50.0,56.8,44.5,39.1,40.0,100.0,19.4,22.6,40.0,55,hard
2019,Tour Finals,RR,L,Federer,14.5,22.6,48.0,45.9,21.8,19.6,26.1,48.0,45.9,29.3,60.0,46.2,66.7,0.0,15.4,53.8,-118,hard
